rating_date,team_id,elo_rating
2001-07-01,AUS,1907.84
2001-07-01,GER,1883.85
2001-07-01,USA,1871.0
2001-07-01,CRO,1866.34
2001-07-01,KOR,1861.38
2001-07-01,PAR,1850.78
2001-07-01,CZE,1842.21
2001-07-01,SWE,1835.26
2001-07-01,JPN,1834.15
2001-07-01,KSA,1798.75
2001-07-01,BEL,1798.6
2001-07-01,COL,1786.36
2001-07-01,IRN,1767.54
2001-07-01,NOR,1764.23
2001-07-01,URU,1747.55
2001-07-01,ECU,1738.21
2001-07-01,SCO,1730.5
2001-07-01,EGY,1728.66
2001-07-01,AUT,1723.92
2001-07-01,MAR,1722.81
2001-07-01,CIV,1720.08
2001-07-01,TUN,1712.96
2001-07-01,RSA,1701.23
2001-07-01,MEX,1701.03
2001-07-01,QAT,1689.31
2001-07-01,JAM,1668.99
2001-07-01,TUR,1664.24
2001-07-01,NZL,1653.7
2001-07-01,CAN,1643.25
2001-07-01,SUI,1641.24
2001-07-01,IRQ,1633.98
2001-07-01,UZB,1618.42
2001-07-01,ALG,1604.98
2001-07-01,SEN,1599.31
2001-07-01,GHA,1591.92
2001-07-01,BIH,1574.73
2001-07-01,HAI,1562.76
2001-07-01,COD,1544.22
2001-07-01,JOR,1533.89
2001-07-01,PAN,1496.5
2001-07-01,CPV,1454.42
2001-07-01,CUW,1346.38
2001-10-01,FRA,2099.37
2001-10-01,ARG,2012.75
2001-10-01,NED,2008.08
2001-10-01,ITA,1982.03
2001-10-01,POR,1966.31
2001-10-01,ENG,1942.34
2001-10-01,ESP,1931.16
2001-10-01,JPN,1898.79
2001-10-01,COL,1889.23
2001-10-01,BRA,1886.79
2001-10-01,AUS,1878.72
2001-10-01,GER,1868.2
2001-10-01,SWE,1861.73
2001-10-01,CRO,1859.69
2001-10-01,KOR,1839.98
2001-10-01,CZE,1838.3
2001-10-01,MEX,1805.87
2001-10-01,USA,1805.38
2001-10-01,IRN,1792.67
2001-10-01,PAR,1781.01
2001-10-01,BEL,1780.89
2001-10-01,KSA,1766.58
2001-10-01,NOR,1741.41
2001-10-01,TUN,1741.18
2001-10-01,URU,1739.61
2001-10-01,EGY,1731.02
2001-10-01,QAT,1718.79
2001-10-01,SCO,1715.04
2001-10-01,AUT,1707.9
2001-10-01,CIV,1701.4
2001-10-01,MAR,1697.56
2001-10-01,ECU,1691.28
2001-10-01,TUR,1672.72
2001-10-01,RSA,1657.72
2001-10-01,NZL,1653.7
2001-10-01,SUI,1652.18
2001-10-01,CAN,1643.25
2001-10-01,SEN,1631.4
2001-10-01,IRQ,1617.06
2001-10-01,ALG,1610.4
2001-10-01,UZB,1608.29
2001-10-01,JAM,1602.09
2001-10-01,GHA,1598.75
2001-10-01,HAI,1562.76
2001-10-01,BIH,1561.89
2001-10-01,COD,1553.24
2001-10-01,JOR,1533.89
2001-10-01,PAN,1476.58
2001-10-01,CPV,1454.42
2001-10-01,CUW,1346.38
2002-01-01,FRA,2093.83
2002-01-01,NED,2001.93
2002-01-01,ARG,1999.28
2002-01-01,ITA,1979.75
2002-01-01,POR,1974.48
2002-01-01,ESP,1942.29
2002-01-01,ENG,1929.8
2002-01-01,COL,1909.22
2002-01-01,GER,1868.05
2002-01-01,SWE,1866.75
2002-01-01,BRA,1862.87
2002-01-01,JPN,1862.8
2002-01-01,AUS,1859.65
2002-01-01,KOR,1857.47
2002-01-01,CRO,1845.37
2002-01-01,MEX,1828.38
2002-01-01,CZE,1822.34
2002-01-01,BEL,1805.21
2002-01-01,IRN,1795.24
2002-01-01,USA,1792.69
2002-01-01,URU,1781.29
2002-01-01,TUN,1757.09
2002-01-01,KSA,1755.78
2002-01-01,NOR,1749.24
2002-01-01,PAR,1734.74
2002-01-01,TUR,1727.53
2002-01-01,SCO,1720.01
2002-01-01,CIV,1715.84
2002-01-01,EGY,1711.34
2002-01-01,ECU,1705.83
2002-01-01,MAR,1691.38
2002-01-01,QAT,1678.27
2002-01-01,RSA,1675.84
2002-01-01,SEN,1668.11
2002-01-01,AUT,1660.84
2002-01-01,NZL,1653.7
2002-01-01,SUI,1633.41
2002-01-01,CAN,1615.72
2002-01-01,ALG,1608.14
2002-01-01,UZB,1602.4
2002-01-01,IRQ,1600.73
2002-01-01,GHA,1588.7
2002-01-01,JAM,1587.87
2002-01-01,HAI,1570.37
2002-01-01,BIH,1568.27
2002-01-01,JOR,1533.89
2002-01-01,COD,1526.18
2002-01-01,PAN,1476.58
2002-01-01,CPV,1451.55
2002-01-01,CUW,1346.38
2002-04-01,FRA,2103.77
2002-04-01,NED,2011.5
2002-04-01,ITA,2001.64
2002-04-01,ARG,1980.88
2002-04-01,ESP,1931.04
2002-04-01,POR,1929.85
2002-04-01,ENG,1920.28
2002-04-01,COL,1909.22
2002-04-01,BRA,1905.6
2002-04-01,GER,1904.8
2002-04-01,JPN,1885.57
2002-04-01,AUS,1859.65
2002-04-01,SWE,1850.89
2002-04-01,USA,1844.32
2002-04-01,CRO,1832.87
2002-04-01,MEX,1831.06
2002-04-01,CZE,1827.46
2002-04-01,BEL,1817.81
2002-04-01,KOR,1782.19
2002-04-01,IRN,1779.62
2002-04-01,URU,1779.49
2002-04-01,SEN,1776.89
2002-04-01,KSA,1769.25
2002-04-01,ECU,1735.39
2002-04-01,NOR,1735.24
2002-04-01,PAR,1729.72
2002-04-01,TUR,1714.66
2002-04-01,SCO,1713.88
2002-04-01,TUN,1705.48
2002-04-01,EGY,1695.05
2002-04-01,AUT,1682.57
2002-04-01,MAR,1668.08
2002-04-01,QAT,1664.44
2002-04-01,NZL,1653.7
2002-04-01,SUI,1651.67
2002-04-01,IRQ,1646.24
2002-04-01,CAN,1643.23
2002-04-01,CIV,1633.9
2002-04-01,RSA,1607.82
2002-04-01,UZB,1602.4
2002-04-01,GHA,1593.04
2002-04-01,JAM,1587.87
2002-04-01,HAI,1575.23
2002-04-01,BIH,1562.8
2002-04-01,ALG,1557.84
2002-04-01,COD,1551.52
2002-04-01,JOR,1499.16
2002-04-01,PAN,1476.58
2002-04-01,CPV,1451.55
2002-04-01,CUW,1346.38
2002-07-01,BRA,2097.88
2002-07-01,NED,2024.53
2002-07-01,GER,1989.06
2002-07-01,ESP,1976.98
2002-07-01,ENG,1966.16
2002-07-01,ARG,1962.1
2002-07-01,FRA,1944.38
2002-07-01,ITA,1908.52
2002-07-01,POR,1894.23
2002-07-01,COL,1889.91
2002-07-01,KOR,1872.06
2002-07-01,AUS,1859.65
2002-07-01,TUR,1852.87
2002-07-01,MEX,1852.43
2002-07-01,JPN,1849.73
2002-07-01,USA,1847.62
2002-07-01,CZE,1843.35
2002-07-01,SWE,1837.82
2002-07-01,SEN,1826.82
2002-07-01,BEL,1821.31
2002-07-01,CRO,1819.99
2002-07-01,URU,1798.51
2002-07-01,IRN,1792.75
2002-07-01,NOR,1769.22
2002-07-01,ECU,1742.38
2002-07-01,PAR,1739.12
2002-07-01,RSA,1704.06
2002-07-01,EGY,1695.05
2002-07-01,KSA,1685.93
2002-07-01,AUT,1675.54
2002-07-01,MAR,1668.08
2002-07-01,CAN,1666.28
2002-07-01,QAT,1664.44
2002-07-01,SCO,1656.63
2002-07-01,NZL,1653.7
2002-07-01,IRQ,1646.24
2002-07-01,TUN,1640.46
2002-07-01,CIV,1633.9
2002-07-01,SUI,1628.63
2002-07-01,UZB,1578.15
2002-07-01,GHA,1578.1
2002-07-01,HAI,1575.23
2002-07-01,JAM,1570.64
2002-07-01,ALG,1567.16
2002-07-01,BIH,1554.96
2002-07-01,COD,1551.52
2002-07-01,JOR,1499.16
2002-07-01,PAN,1476.58
2002-07-01,CPV,1451.55
2002-07-01,CUW,1346.38
2002-10-01,BRA,2071.26
2002-10-01,NED,2033.56
2002-10-01,GER,1979.22
2002-10-01,ESP,1973.28
2002-10-01,ENG,1963.1
2002-10-01,ARG,1962.1
2002-10-01,FRA,1936.42
2002-10-01,POR,1897.3
2002-10-01,COL,1889.91
2002-10-01,ITA,1885.5
2002-10-01,CZE,1878.23
2002-10-01,AUS,1875.62
2002-10-01,TUR,1873.51
2002-10-01,KOR,1861.53
2002-10-01,MEX,1852.43
2002-10-01,JPN,1849.73
2002-10-01,USA,1847.62
2002-10-01,SEN,1828.0
2002-10-01,SWE,1821.26
2002-10-01,CRO,1799.94
2002-10-01,URU,1798.51
2002-10-01,BEL,1786.3
2002-10-01,NOR,1769.18
2002-10-01,IRN,1766.94
2002-10-01,PAR,1765.8
2002-10-01,NZL,1747.8
2002-10-01,ECU,1742.38
2002-10-01,RSA,1714.29
2002-10-01,IRQ,1697.41
2002-10-01,KSA,1685.93
2002-10-01,MAR,1683.52
2002-10-01,EGY,1679.76
2002-10-01,SUI,1666.59
2002-10-01,CAN,1666.28
2002-10-01,AUT,1665.3
2002-10-01,QAT,1664.44
2002-10-01,CIV,1651.35
2002-10-01,TUN,1651.01
2002-10-01,SCO,1639.29
2002-10-01,JAM,1598.78
2002-10-01,HAI,1575.23
2002-10-01,ALG,1567.8
2002-10-01,GHA,1557.91
2002-10-01,COD,1552.08
2002-10-01,JOR,1546.31
2002-10-01,UZB,1540.56
2002-10-01,BIH,1532.49
2002-10-01,PAN,1476.58
2002-10-01,CPV,1462.52
2002-10-01,CUW,1344.75
2003-01-01,BRA,2078.16
2003-01-01,NED,2057.53
2003-01-01,ARG,1977.03
2003-01-01,ESP,1974.9
2003-01-01,FRA,1961.59
2003-01-01,ENG,1953.55
2003-01-01,GER,1949.14
2003-01-01,POR,1909.88
2003-01-01,CZE,1882.47
2003-01-01,TUR,1876.36
2003-01-01,AUS,1875.62
2003-01-01,COL,1870.06
2003-01-01,ITA,1856.05
2003-01-01,KOR,1854.62
2003-01-01,USA,1853.99
2003-01-01,MEX,1852.43
2003-01-01,JPN,1825.53
2003-01-01,SEN,1820.99
2003-01-01,SWE,1804.52
2003-01-01,NOR,1803.81
2003-01-01,BEL,1792.64
2003-01-01,CRO,1785.89
2003-01-01,URU,1776.36
2003-01-01,PAR,1773.94
2003-01-01,IRN,1766.94
2003-01-01,ECU,1714.06
2003-01-01,RSA,1708.83
2003-01-01,KSA,1708.67
2003-01-01,NZL,1700.61
2003-01-01,EGY,1686.53
2003-01-01,SUI,1681.78
2003-01-01,QAT,1680.86
2003-01-01,IRQ,1676.96
2003-01-01,MAR,1672.34
2003-01-01,SCO,1671.09
2003-01-01,AUT,1665.23
2003-01-01,TUN,1661.01
2003-01-01,CIV,1651.35
2003-01-01,CAN,1643.24
2003-01-01,JAM,1638.83
2003-01-01,JOR,1614.66
2003-01-01,HAI,1591.8
2003-01-01,ALG,1582.57
2003-01-01,COD,1561.17
2003-01-01,GHA,1559.65
2003-01-01,UZB,1540.56
2003-01-01,BIH,1536.3
2003-01-01,PAN,1476.58
2003-01-01,CPV,1439.87
2003-01-01,CUW,1333.21
2003-04-01,NED,2063.92
2003-04-01,BRA,2043.28
2003-04-01,ARG,1994.76
2003-04-01,ESP,1984.56
2003-04-01,FRA,1935.67
2003-04-01,ENG,1926.69
2003-04-01,CZE,1916.48
2003-04-01,POR,1914.47
2003-04-01,GER,1914.41
2003-04-01,AUS,1903.08
2003-04-01,ITA,1884.8
2003-04-01,USA,1873.06
2003-04-01,COL,1868.28
2003-04-01,TUR,1867.86
2003-04-01,KOR,1855.24
2003-04-01,MEX,1847.25
2003-04-01,JPN,1823.4
2003-04-01,SWE,1812.92
2003-04-01,CRO,1804.12
2003-04-01,SEN,1788.28
2003-04-01,NOR,1781.55
2003-04-01,URU,1778.08
2003-04-01,BEL,1772.98
2003-04-01,IRN,1767.34
2003-04-01,PAR,1762.55
2003-04-01,ECU,1728.98
2003-04-01,RSA,1721.14
2003-04-01,KSA,1708.67
2003-04-01,SUI,1707.85
2003-04-01,EGY,1707.1
2003-04-01,NZL,1700.61
2003-04-01,TUN,1696.58
2003-04-01,CIV,1694.83
2003-04-01,MAR,1684.55
2003-04-01,IRQ,1676.96
2003-04-01,SCO,1670.53
2003-04-01,AUT,1667.85
2003-04-01,JAM,1640.59
2003-04-01,CAN,1623.65
2003-04-01,JOR,1614.66
2003-04-01,QAT,1608.46
2003-04-01,COD,1583.64
2003-04-01,ALG,1582.09
2003-04-01,GHA,1553.57
2003-04-01,BIH,1545.34
2003-04-01,UZB,1540.56
2003-04-01,HAI,1540.13
2003-04-01,PAN,1471.69
2003-04-01,CPV,1457.34
2003-04-01,CUW,1333.21
2003-07-01,NED,2060.91
2003-07-01,BRA,2022.45
2003-07-01,ARG,2018.81
2003-07-01,FRA,2000.27
2003-07-01,ENG,1962.08
2003-07-01,ESP,1959.31
2003-07-01,CZE,1951.59
2003-07-01,POR,1921.82
2003-07-01,GER,1920.84
2003-07-01,ITA,1907.69
2003-07-01,AUS,1903.08
2003-07-01,USA,1862.22
2003-07-01,MEX,1855.7
2003-07-01,TUR,1852.62
2003-07-01,COL,1838.83
2003-07-01,CRO,1826.67
2003-07-01,SWE,1826.12
2003-07-01,KOR,1818.87
2003-07-01,URU,1805.41
2003-07-01,JPN,1804.06
2003-07-01,BEL,1793.55
2003-07-01,SEN,1782.95
2003-07-01,PAR,1778.62
2003-07-01,NOR,1777.79
2003-07-01,IRN,1767.34
2003-07-01,RSA,1733.7
2003-07-01,ECU,1721.09
2003-07-01,EGY,1717.98
2003-07-01,TUN,1715.45
2003-07-01,CIV,1702.87
2003-07-01,SUI,1702.36
2003-07-01,MAR,1688.78
2003-07-01,KSA,1680.0
2003-07-01,IRQ,1676.96
2003-07-01,AUT,1675.35
2003-07-01,NZL,1651.52
2003-07-01,JAM,1643.51
2003-07-01,SCO,1637.26
2003-07-01,CAN,1615.65
2003-07-01,JOR,1614.66
2003-07-01,QAT,1608.46
2003-07-01,COD,1602.33
2003-07-01,ALG,1584.68
2003-07-01,BIH,1573.41
2003-07-01,HAI,1540.13
