player_id,player_name,birth_date,position,club,base_rating
P-21070,Daniel Van Buyten,1978-02-07,Defender,,88.1
P-45680,Anis Ben Slimane,2001-03-16,Forward,,71.9
P-59324,David James,1970-08-01,Midfielder,,78.9
P-09614,Noussair Mazraoui,1997-11-14,Defender,,80.4
P-43764,Glen Johnson,1984-08-23,Defender,,75.9
P-56430,Zinedine Zidane,1972-06-23,Midfielder,,88.3
P-19512,Jalal Hosseini,1982-02-03,Defender,,79.0
P-42663,Tarek Salman,1997-12-05,Defender,,77.0
P-14151,Tyler Adams,1999-02-14,Midfielder,,84.8
P-95312,Leandro Trossard,1994-12-04,Forward,,88.0
P-79884,Ibrahim Ayew,1988-04-16,Defender,,81.7
P-94551,not applicable Maicon,1981-07-26,Defender,,80.5
P-70618,Jordan Pickford,1994-03-07,Midfielder,,83.4
P-29136,Mame Biram Diouf,1987-12-16,Forward,,81.9
P-30363,not applicable Gilberto,1976-04-25,Defender,,87.9
P-13162,Emiliano Martínez,1992-09-02,Midfielder,,87.7
P-77892,Adolfo Machado,1985-02-14,Defender,,79.1
P-17988,Wilmar Barrios,1993-10-16,Midfielder,,86.8
P-53270,Medhi Benatia,1987-04-17,Defender,,77.4
P-28014,Diego Milito,1979-06-12,Forward,,80.9
P-91280,Tomáš Ujfaluši,1978-03-24,Defender,,72.8
P-70145,Elisha Owusu,1997-11-07,Midfielder,,72.4
P-38556,Asamoah Gyan,1985-11-22,Forward,,78.2
P-37239,not applicable Oscar,1991-09-09,Midfielder,,78.2
P-37372,not applicable Jô,1987-03-20,Forward,,88.1
P-57411,Moussa Wagué,1998-10-04,Defender,,78.2
P-67089,Jason Cummings,1995-08-01,Forward,,77.4
P-09349,Hidetoshi Nakata,1977-01-22,Midfielder,,80.9
P-86290,Roberto Abbondanzieri,1972-08-19,Midfielder,,87.4
P-48341,Maurice Edu,1986-04-18,Midfielder,,80.9
P-37735,Juninho Pernambucano,1975-01-30,Midfielder,,84.1
P-17136,Chris Wood,1991-12-07,Forward,,70.2
P-11191,Francisco Javier Rodríguez,1981-10-20,Defender,,80.7
P-01505,Santiago Arias,1992-01-13,Defender,,81.1
P-74059,Hassan Roudbarian,1978-07-06,Midfielder,,78.8
P-58069,Abdullah Ercan,1971-12-08,Midfielder,,78.1
P-17048,Mohammed Muntari,1993-12-20,Forward,,72.2
P-32803,Aymen Dahmen,1997-01-28,Midfielder,,72.7
P-45750,Kyle Beckerman,1982-04-23,Midfielder,,81.0
P-49934,William Pacho,2001-10-16,Defender,,85.0
P-29967,John Mensah,1982-11-29,Defender,,75.3
P-80656,Bilal El Khannous,2004-05-10,Midfielder,,83.2
P-29082,not applicable Juanfran,1976-07-15,Defender,,78.4
P-91431,Gonzalo Montiel,1997-01-01,Defender,,82.6
P-70715,Hakim Ziyech,1993-03-19,Midfielder,,73.6
P-42534,Édison Méndez,1979-03-16,Forward,,76.4
P-01045,Fabio Quagliarella,1983-01-31,Forward,,83.4
P-50142,Mohammed Salisu,1999-04-17,Defender,,73.2
