team_id,as_of_date,elo,fifa_rank,attack_strength,defense_strength,avg_goals_scored,avg_goals_conceded,form_index,wc_attack_strength,wc_defense_strength,squad_size,clean_sheet_rate,win_rate
CUW,2026-06-10,1310.585815344156,65,1.0524839181321461,1.819089398034076,1.3342377611047074,2.3060663672559394,0.21551733106043866,1.6751448122881187,0.27654496168874226,23,0.2804560275559648,0.23916961154096908
TUN,2026-06-10,1546.2991381966822,29,0.7198390999394191,1.0188196929176947,0.9125426930639422,1.2915614981180317,0.43564312110561343,0.7916517898539782,0.8726950034140734,26,0.42401875401468325,0.3503267495048257
NOR,2026-06-10,1593.7521704029612,37,1.3047956712994857,0.9814355464717213,1.6540943050829184,1.2441694772086695,0.47409538672033197,2.4718691338514374,0.6548108900609958,23,0.21451576910233053,0.35815221524222063
COL,2026-06-10,1687.5136779876782,12,1.27865330952596,0.7948735298012093,1.620953536239058,1.0076641177050294,0.4416679415752511,0.99079332358003,1.1316845565000773,23,0.4131427826644847,0.48285583951315036
SCO,2026-06-10,1528.7374941020325,50,0.8978598596091081,1.205396127583607,1.1382202694333539,1.5280851353678406,0.18630365626487683,0.6882618281468355,1.1100209407001351,23,0.15262711969869733,0.26373985477272693
EGY,2026-06-10,1486.9536245774052,31,0.9687874866344613,0.9678597111640725,1.228135484908309,1.2269593405082917,0.36444215630915383,0.7026965682995414,0.8541473042295643,23,0.3440062308209121,0.3335332853545265
JAM,2026-06-10,1270.0610854634172,58,0.5534039790016666,1.4265281763557902,0.7015522738247795,1.8084150526039255,0.17571912415032107,0.1853099796962761,1.0233094587893279,23,0.158440663424217,0.10929488300760783
FRA,2026-06-10,1799.8624536522705,2,1.3689689811076011,0.9277319111343317,1.7354470476055917,1.1760891797891078,0.7591695621919428,1.5650257166179868,0.9164551107357191,26,0.3304810622428804,0.5560681030998775
ESP,2026-06-10,1786.8143714614955,8,1.6250482835478444,0.9410134612322182,2.060079727750949,1.1929262500391247,0.675640412136898,2.5035903118954272,0.8492854129879862,26,0.33499341993764004,0.454191277367322
ITA,2026-06-10,1591.7486542396014,9,0.9493885409445875,1.4137190064766962,1.203543369609309,1.7921768205068282,0.3528850822907883,0.5482527481721723,2.4805878507386994,23,0.2050341395504579,0.2510816280547071
MAR,2026-06-10,1668.1315912969865,13,1.20653036978564,0.6567212162818931,1.529523018408255,0.832527918181357,0.5036960525093919,0.7381278240820791,0.628595516882426,26,0.3739648648602017,0.5590014179232786
TUR,2026-06-10,1623.0327824548972,38,0.9363697174558857,1.698601288878284,1.187039358854817,2.1533231450268855,0.34997385673803644,0.9636315847952635,2.8538887930249595,23,0.11461405578833977,0.3267308182596163
MEX,2026-06-10,1633.2691484487475,17,0.9711048087121014,0.7742581793478713,1.2310731626888076,0.9815299615821831,0.36593217718008547,1.0323375882361845,0.8581876727399464,26,0.5075097244129932,0.4452078959336955
NZL,2026-06-10,1254.0986329044035,80,0.33307128962205745,1.4707362971273301,0.4222357074512512,1.8644578510397873,0.215483439402696,0.6965055050263284,2.2288176160842506,23,0.10167377191850512,0.07444638175088739
IRQ,2026-06-10,1367.6471904882387,54,0.4800906397766871,0.9827842965692702,0.6086126821583869,1.2458792927027031,0.16575131049226996,0.40309038646178974,0.7933647549558042,23,0.2884837285061162,0.15745333118741467
ENG,2026-06-10,1704.5225190142344,5,0.9546414205641308,0.8281444163279641,1.2102024645581138,1.049841743780502,0.4306967499555214,1.7774103477743783,0.876947083631265,26,0.27225821245720927,0.3877711778511907
RSA,2026-06-10,1460.7621452232354,48,0.7068126166463597,0.8079328730317726,0.8960289719470964,1.0242194954863524,0.5227086856034427,0.7076676255012528,1.168450122126727,23,0.33635043961948075,0.2769312792834454
SWE,2026-06-10,1540.4101630302519,23,1.0238305273005592,1.9077882893228968,1.297913751423835,2.4185102802571894,0.2616934897601183,0.542743999039175,2.137827142240412,23,0.08251092899417374,0.22431955371580828
ECU,2026-06-10,1673.2408733954942,30,0.7027968565095274,0.5720485263050115,0.8909381779484483,0.7251880354951087,0.4990940149880352,0.45347727071676586,0.39016493642739875,26,0.41892380101117177,0.2930495121650877
GER,2026-06-10,1711.1648123683856,15,1.5574915761041128,1.278351000336049,1.9744378395145028,1.620570297759344,0.48908508029567227,1.6218557600840182,0.9073358272656119,23,0.10054517216922927,0.5493084272679863
